# conda environments:
#
base                     /home/zwa281/miniconda
env                      /home/zwa281/miniconda/envs/env
myenv                 *  /home/zwa281/miniconda/envs/myenv

True
8
0
EPOCH 081: test_acc=0.7396, disc_loss=0.4784, cls_loss=0.0045, disc_acc=0.6949
EPOCH 082: test_acc=0.7396, disc_loss=0.4815, cls_loss=0.0075, disc_acc=0.7627
EPOCH 083: test_acc=0.7384, disc_loss=0.4689, cls_loss=0.0059, disc_acc=0.6949
EPOCH 084: test_acc=0.7346, disc_loss=0.4592, cls_loss=0.0041, disc_acc=0.8136
EPOCH 085: test_acc=0.7409, disc_loss=0.4821, cls_loss=0.0035, disc_acc=0.6949
EPOCH 086: test_acc=0.7346, disc_loss=0.4736, cls_loss=0.0038, disc_acc=0.7966
EPOCH 087: test_acc=0.7396, disc_loss=0.4803, cls_loss=0.0025, disc_acc=0.6441
EPOCH 088: test_acc=0.7434, disc_loss=0.4917, cls_loss=0.0059, disc_acc=0.6949
EPOCH 089: test_acc=0.7396, disc_loss=0.4899, cls_loss=0.0053, disc_acc=0.7458
EPOCH 090: test_acc=0.7371, disc_loss=0.4823, cls_loss=0.0034, disc_acc=0.7288
EPOCH 091: test_acc=0.7447, disc_loss=0.5053, cls_loss=0.0048, disc_acc=0.8136
EPOCH 092: test_acc=0.7358, disc_loss=0.5199, cls_loss=0.0029, disc_acc=0.7119
EPOCH 093: test_acc=0.7396, disc_loss=0.5006, cls_loss=0.0029, disc_acc=0.7797
EPOCH 094: test_acc=0.7321, disc_loss=0.4845, cls_loss=0.0027, disc_acc=0.7966
EPOCH 095: test_acc=0.7396, disc_loss=0.4908, cls_loss=0.0028, disc_acc=0.7797
EPOCH 096: test_acc=0.7371, disc_loss=0.5095, cls_loss=0.0034, disc_acc=0.7119
EPOCH 097: test_acc=0.7409, disc_loss=0.4936, cls_loss=0.0023, disc_acc=0.7627
EPOCH 098: test_acc=0.7409, disc_loss=0.5088, cls_loss=0.0026, disc_acc=0.7119
EPOCH 099: test_acc=0.7472, disc_loss=0.5063, cls_loss=0.0042, disc_acc=0.7458
EPOCH 100: test_acc=0.7434, disc_loss=0.5068, cls_loss=0.0025, disc_acc=0.7966
EPOCH 101: test_acc=0.7358, disc_loss=0.5387, cls_loss=0.0031, disc_acc=0.7458
EPOCH 102: test_acc=0.7384, disc_loss=0.5216, cls_loss=0.0023, disc_acc=0.7797
EPOCH 103: test_acc=0.7346, disc_loss=0.5261, cls_loss=0.0022, disc_acc=0.7119
EPOCH 104: test_acc=0.7371, disc_loss=0.5064, cls_loss=0.0037, disc_acc=0.8644
EPOCH 105: test_acc=0.7396, disc_loss=0.5437, cls_loss=0.0029, disc_acc=0.7119
EPOCH 106: test_acc=0.7371, disc_loss=0.5359, cls_loss=0.0031, disc_acc=0.6102
EPOCH 107: test_acc=0.7308, disc_loss=0.5128, cls_loss=0.0029, disc_acc=0.8136
EPOCH 108: test_acc=0.7358, disc_loss=0.5360, cls_loss=0.0031, disc_acc=0.6610
EPOCH 109: test_acc=0.7296, disc_loss=0.5247, cls_loss=0.0026, disc_acc=0.7288
EPOCH 110: test_acc=0.7308, disc_loss=0.5057, cls_loss=0.0022, disc_acc=0.7627
EPOCH 111: test_acc=0.7333, disc_loss=0.5280, cls_loss=0.0020, disc_acc=0.6441
EPOCH 112: test_acc=0.7358, disc_loss=0.5345, cls_loss=0.0023, disc_acc=0.7119
EPOCH 113: test_acc=0.7409, disc_loss=0.5381, cls_loss=0.0022, disc_acc=0.7119
EPOCH 114: test_acc=0.7296, disc_loss=0.5501, cls_loss=0.0021, disc_acc=0.7119
EPOCH 115: test_acc=0.7321, disc_loss=0.5335, cls_loss=0.0055, disc_acc=0.8305
EPOCH 116: test_acc=0.7258, disc_loss=0.5370, cls_loss=0.0061, disc_acc=0.7119
EPOCH 117: test_acc=0.7270, disc_loss=0.5502, cls_loss=0.0032, disc_acc=0.7458
EPOCH 118: test_acc=0.7396, disc_loss=0.5421, cls_loss=0.0034, disc_acc=0.6949
EPOCH 119: test_acc=0.7346, disc_loss=0.5532, cls_loss=0.0040, disc_acc=0.7288
EPOCH 120: test_acc=0.7409, disc_loss=0.5479, cls_loss=0.0048, disc_acc=0.7458
EPOCH 121: test_acc=0.7308, disc_loss=0.5416, cls_loss=0.0083, disc_acc=0.7119
EPOCH 122: test_acc=0.7346, disc_loss=0.5434, cls_loss=0.0042, disc_acc=0.8136
EPOCH 123: test_acc=0.7346, disc_loss=0.5460, cls_loss=0.0072, disc_acc=0.7797
EPOCH 124: test_acc=0.7270, disc_loss=0.5482, cls_loss=0.0035, disc_acc=0.7627
EPOCH 125: test_acc=0.7258, disc_loss=0.5634, cls_loss=0.0033, disc_acc=0.7288
EPOCH 126: test_acc=0.7270, disc_loss=0.5447, cls_loss=0.0018, disc_acc=0.6610
EPOCH 127: test_acc=0.7346, disc_loss=0.5550, cls_loss=0.0027, disc_acc=0.6271
EPOCH 128: test_acc=0.7358, disc_loss=0.5551, cls_loss=0.0037, disc_acc=0.6780
EPOCH 129: test_acc=0.7371, disc_loss=0.5624, cls_loss=0.0026, disc_acc=0.6610
EPOCH 130: test_acc=0.7358, disc_loss=0.5578, cls_loss=0.0016, disc_acc=0.6780
EPOCH 131: test_acc=0.7346, disc_loss=0.5444, cls_loss=0.0018, disc_acc=0.6780
EPOCH 132: test_acc=0.7409, disc_loss=0.5541, cls_loss=0.0022, disc_acc=0.7627
EPOCH 133: test_acc=0.7346, disc_loss=0.5426, cls_loss=0.0061, disc_acc=0.6949
EPOCH 134: test_acc=0.7358, disc_loss=0.5578, cls_loss=0.0049, disc_acc=0.5932
EPOCH 135: test_acc=0.7245, disc_loss=0.5543, cls_loss=0.0067, disc_acc=0.7627
EPOCH 136: test_acc=0.7333, disc_loss=0.5583, cls_loss=0.0032, disc_acc=0.7119
EPOCH 137: test_acc=0.7384, disc_loss=0.5398, cls_loss=0.0036, disc_acc=0.7288
EPOCH 138: test_acc=0.7308, disc_loss=0.5591, cls_loss=0.0079, disc_acc=0.7627
EPOCH 139: test_acc=0.7333, disc_loss=0.5640, cls_loss=0.0039, disc_acc=0.7288
EPOCH 140: test_acc=0.7258, disc_loss=0.5462, cls_loss=0.0029, disc_acc=0.7627
EPOCH 141: test_acc=0.7245, disc_loss=0.5298, cls_loss=0.0029, disc_acc=0.6610
EPOCH 142: test_acc=0.7358, disc_loss=0.5609, cls_loss=0.0020, disc_acc=0.6949
EPOCH 143: test_acc=0.7182, disc_loss=0.5465, cls_loss=0.0030, disc_acc=0.7288
EPOCH 144: test_acc=0.7346, disc_loss=0.5479, cls_loss=0.0025, disc_acc=0.6271
EPOCH 145: test_acc=0.7321, disc_loss=0.5520, cls_loss=0.0023, disc_acc=0.6949
EPOCH 146: test_acc=0.7245, disc_loss=0.5372, cls_loss=0.0022, disc_acc=0.7119
EPOCH 147: test_acc=0.7308, disc_loss=0.5530, cls_loss=0.0022, disc_acc=0.6610
EPOCH 148: test_acc=0.7258, disc_loss=0.5621, cls_loss=0.0017, disc_acc=0.6610
EPOCH 149: test_acc=0.7296, disc_loss=0.5368, cls_loss=0.0041, disc_acc=0.7458
EPOCH 150: test_acc=0.7358, disc_loss=0.5671, cls_loss=0.0050, disc_acc=0.7458
EPOCH 151: test_acc=0.7321, disc_loss=0.5483, cls_loss=0.0023, disc_acc=0.6441
EPOCH 152: test_acc=0.7245, disc_loss=0.5726, cls_loss=0.0050, disc_acc=0.6441
EPOCH 153: test_acc=0.7384, disc_loss=0.5787, cls_loss=0.0041, disc_acc=0.6271
EPOCH 154: test_acc=0.7447, disc_loss=0.5607, cls_loss=0.0019, disc_acc=0.7627
EPOCH 155: test_acc=0.7447, disc_loss=0.5897, cls_loss=0.0042, disc_acc=0.6271
EPOCH 156: test_acc=0.7283, disc_loss=0.5618, cls_loss=0.0045, disc_acc=0.7119
EPOCH 157: test_acc=0.7321, disc_loss=0.5550, cls_loss=0.0018, disc_acc=0.6780
EPOCH 158: test_acc=0.7358, disc_loss=0.5557, cls_loss=0.0029, disc_acc=0.7288
EPOCH 159: test_acc=0.7358, disc_loss=0.5598, cls_loss=0.0020, disc_acc=0.6949
EPOCH 160: test_acc=0.7233, disc_loss=0.5417, cls_loss=0.0021, disc_acc=0.7458
EPOCH 161: test_acc=0.7258, disc_loss=0.5507, cls_loss=0.0023, disc_acc=0.6949
EPOCH 162: test_acc=0.7308, disc_loss=0.5616, cls_loss=0.0030, disc_acc=0.7627
EPOCH 163: test_acc=0.7245, disc_loss=0.5620, cls_loss=0.0031, disc_acc=0.6949
EPOCH 164: test_acc=0.7220, disc_loss=0.5741, cls_loss=0.0038, disc_acc=0.8475
EPOCH 165: test_acc=0.7270, disc_loss=0.5491, cls_loss=0.0043, disc_acc=0.7797
EPOCH 166: test_acc=0.7270, disc_loss=0.5545, cls_loss=0.0020, disc_acc=0.7119
EPOCH 167: test_acc=0.7195, disc_loss=0.5636, cls_loss=0.0015, disc_acc=0.6949
EPOCH 168: test_acc=0.7245, disc_loss=0.5657, cls_loss=0.0018, disc_acc=0.7458
EPOCH 169: test_acc=0.7296, disc_loss=0.5528, cls_loss=0.0016, disc_acc=0.7288
EPOCH 170: test_acc=0.7208, disc_loss=0.5576, cls_loss=0.0020, disc_acc=0.7458
EPOCH 171: test_acc=0.7283, disc_loss=0.5574, cls_loss=0.0018, disc_acc=0.7458
EPOCH 172: test_acc=0.7308, disc_loss=0.5564, cls_loss=0.0017, disc_acc=0.5763
EPOCH 173: test_acc=0.7296, disc_loss=0.5670, cls_loss=0.0030, disc_acc=0.6780
EPOCH 174: test_acc=0.7321, disc_loss=0.5649, cls_loss=0.0023, disc_acc=0.8136
EPOCH 175: test_acc=0.7283, disc_loss=0.5577, cls_loss=0.0021, disc_acc=0.6441
EPOCH 176: test_acc=0.7333, disc_loss=0.5590, cls_loss=0.0029, disc_acc=0.6441
EPOCH 177: test_acc=0.7220, disc_loss=0.5700, cls_loss=0.0022, disc_acc=0.7288
EPOCH 178: test_acc=0.7321, disc_loss=0.5783, cls_loss=0.0046, disc_acc=0.7627
EPOCH 179: test_acc=0.7233, disc_loss=0.5802, cls_loss=0.0033, disc_acc=0.6780
EPOCH 180: test_acc=0.7182, disc_loss=0.5522, cls_loss=0.0017, disc_acc=0.8305
EPOCH 181: test_acc=0.7308, disc_loss=0.5576, cls_loss=0.0025, disc_acc=0.6780
EPOCH 182: test_acc=0.7145, disc_loss=0.5537, cls_loss=0.0021, disc_acc=0.7966
EPOCH 183: test_acc=0.7208, disc_loss=0.5615, cls_loss=0.0013, disc_acc=0.6780
EPOCH 184: test_acc=0.7220, disc_loss=0.5608, cls_loss=0.0016, disc_acc=0.6780
EPOCH 185: test_acc=0.7358, disc_loss=0.5656, cls_loss=0.0041, disc_acc=0.7458
EPOCH 186: test_acc=0.7346, disc_loss=0.5706, cls_loss=0.0016, disc_acc=0.6949
EPOCH 187: test_acc=0.7384, disc_loss=0.5811, cls_loss=0.0023, disc_acc=0.6610
EPOCH 188: test_acc=0.7371, disc_loss=0.5712, cls_loss=0.0022, disc_acc=0.6271
EPOCH 189: test_acc=0.7346, disc_loss=0.5805, cls_loss=0.0035, disc_acc=0.6610
EPOCH 190: test_acc=0.7384, disc_loss=0.5819, cls_loss=0.0019, disc_acc=0.6780
EPOCH 191: test_acc=0.7358, disc_loss=0.5744, cls_loss=0.0032, disc_acc=0.7288
EPOCH 192: test_acc=0.7346, disc_loss=0.5624, cls_loss=0.0013, disc_acc=0.7627
EPOCH 193: test_acc=0.7321, disc_loss=0.5758, cls_loss=0.0031, disc_acc=0.7458
EPOCH 194: test_acc=0.7296, disc_loss=0.5522, cls_loss=0.0010, disc_acc=0.7288
EPOCH 195: test_acc=0.7333, disc_loss=0.5680, cls_loss=0.0034, disc_acc=0.6441
EPOCH 196: test_acc=0.7321, disc_loss=0.5593, cls_loss=0.0029, disc_acc=0.5763
EPOCH 197: test_acc=0.7371, disc_loss=0.5711, cls_loss=0.0028, disc_acc=0.6102
EPOCH 198: test_acc=0.7321, disc_loss=0.5776, cls_loss=0.0022, disc_acc=0.5932
EPOCH 199: test_acc=0.7333, disc_loss=0.5801, cls_loss=0.0031, disc_acc=0.6271
EPOCH 200: test_acc=0.7358, disc_loss=0.5734, cls_loss=0.0020, disc_acc=0.6949
EPOCH 201: test_acc=0.7346, disc_loss=0.5667, cls_loss=0.0041, disc_acc=0.7458
EPOCH 202: test_acc=0.7346, disc_loss=0.5672, cls_loss=0.0015, disc_acc=0.6271
EPOCH 203: test_acc=0.7321, disc_loss=0.5786, cls_loss=0.0024, disc_acc=0.7119
EPOCH 204: test_acc=0.7308, disc_loss=0.5773, cls_loss=0.0038, disc_acc=0.6441
EPOCH 205: test_acc=0.7270, disc_loss=0.5790, cls_loss=0.0026, disc_acc=0.7627
EPOCH 206: test_acc=0.7296, disc_loss=0.5737, cls_loss=0.0024, disc_acc=0.7288
EPOCH 207: test_acc=0.7321, disc_loss=0.5717, cls_loss=0.0018, disc_acc=0.7966
EPOCH 208: test_acc=0.7283, disc_loss=0.5866, cls_loss=0.0011, disc_acc=0.6949
EPOCH 209: test_acc=0.7321, disc_loss=0.5756, cls_loss=0.0019, disc_acc=0.6949
EPOCH 210: test_acc=0.7333, disc_loss=0.5636, cls_loss=0.0015, disc_acc=0.6780
EPOCH 211: test_acc=0.7308, disc_loss=0.5734, cls_loss=0.0064, disc_acc=0.7119
EPOCH 212: test_acc=0.7283, disc_loss=0.5605, cls_loss=0.0022, disc_acc=0.7288
EPOCH 213: test_acc=0.7233, disc_loss=0.5682, cls_loss=0.0028, disc_acc=0.6949
EPOCH 214: test_acc=0.7346, disc_loss=0.5789, cls_loss=0.0020, disc_acc=0.8136
EPOCH 215: test_acc=0.7321, disc_loss=0.5692, cls_loss=0.0028, disc_acc=0.7119
EPOCH 216: test_acc=0.7245, disc_loss=0.5649, cls_loss=0.0026, disc_acc=0.7288
EPOCH 217: test_acc=0.7308, disc_loss=0.5732, cls_loss=0.0023, disc_acc=0.7288
EPOCH 218: test_acc=0.7333, disc_loss=0.5760, cls_loss=0.0022, disc_acc=0.7627
EPOCH 219: test_acc=0.7308, disc_loss=0.5831, cls_loss=0.0027, disc_acc=0.6949
EPOCH 220: test_acc=0.7371, disc_loss=0.5593, cls_loss=0.0015, disc_acc=0.6949
EPOCH 221: test_acc=0.7346, disc_loss=0.5810, cls_loss=0.0032, disc_acc=0.7119
EPOCH 222: test_acc=0.7371, disc_loss=0.5720, cls_loss=0.0014, disc_acc=0.6441
EPOCH 223: test_acc=0.7409, disc_loss=0.5732, cls_loss=0.0016, disc_acc=0.7797
EPOCH 224: test_acc=0.7346, disc_loss=0.5804, cls_loss=0.0014, disc_acc=0.7458
EPOCH 225: test_acc=0.7258, disc_loss=0.5917, cls_loss=0.0018, disc_acc=0.7288
EPOCH 226: test_acc=0.7346, disc_loss=0.5883, cls_loss=0.0016, disc_acc=0.6102
EPOCH 227: test_acc=0.7333, disc_loss=0.5837, cls_loss=0.0017, disc_acc=0.6949
EPOCH 228: test_acc=0.7296, disc_loss=0.5775, cls_loss=0.0022, disc_acc=0.7458
EPOCH 229: test_acc=0.7296, disc_loss=0.5720, cls_loss=0.0012, disc_acc=0.7119
EPOCH 230: test_acc=0.7371, disc_loss=0.5942, cls_loss=0.0016, disc_acc=0.6610
EPOCH 231: test_acc=0.7333, disc_loss=0.5747, cls_loss=0.0034, disc_acc=0.8305
EPOCH 232: test_acc=0.7358, disc_loss=0.5864, cls_loss=0.0017, disc_acc=0.6780
EPOCH 233: test_acc=0.7346, disc_loss=0.5724, cls_loss=0.0018, disc_acc=0.7119
EPOCH 234: test_acc=0.7346, disc_loss=0.5780, cls_loss=0.0022, disc_acc=0.7627
EPOCH 235: test_acc=0.7384, disc_loss=0.5814, cls_loss=0.0021, disc_acc=0.6949
EPOCH 236: test_acc=0.7384, disc_loss=0.6000, cls_loss=0.0023, disc_acc=0.5763
EPOCH 237: test_acc=0.7371, disc_loss=0.5929, cls_loss=0.0036, disc_acc=0.7119
EPOCH 238: test_acc=0.7421, disc_loss=0.5860, cls_loss=0.0022, disc_acc=0.6610
